0,1,2,3,4
-0.484624283,1.315806629,-0.893058346,-0.89968699,-1.199643095
2.063454176,-0.759990091,-0.893058346,-1.062767943,0.887047979
2.063454176,-0.759990091,-0.893058346,-0.976502308,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.704224158,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.358783813,1.721724408
2.063454176,-0.759990091,-0.893058346,-2.077276638,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.331110451,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.836278101,-0.78230488
2.063454176,-0.759990091,-0.893058346,-1.889838163,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.816343721,-0.78230488
-0.484624283,1.315806629,-0.893058346,-0.884811174,-0.78230488
2.063454176,-0.759990091,-0.893058346,-0.957971435,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.177854025,1.721724408
2.063454176,-0.759990091,-0.893058346,-0.988191374,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.719547967,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.636560575,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.70467493,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.240319257,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.466896933,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.746568559,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.695743769,-0.78230488
2.063454176,-0.759990091,-0.893058346,-1.750444778,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.144991763,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.61332749,0.052371549
2.063454176,-0.759990091,-0.893058346,-0.905381542,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.312574338,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.80478388,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.448597935,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.02374447,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.591340641,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.26297322,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.21457557,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.794633769,0.052371549
2.063454176,-0.759990091,-0.893058346,-1.087178212,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.721902498,-1.199643095
2.063454176,-0.759990091,-0.893058346,-1.635052708,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.726240104,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.706927032,-0.78230488
2.063454176,-0.759990091,-0.893058346,-1.704800962,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.20467377,0.052371549
-0.484624283,1.315806629,-0.893058346,-0.538465972,0.887047979
2.063454176,-0.759990091,-0.893058346,-2.000723248,1.721724408
2.063454176,-0.759990091,-0.893058346,-0.97716539,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.246265493,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.133076147,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.565624344,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.519656059,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.182764,0.052371549
2.063454176,-0.759990091,-0.893058346,-1.533544601,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.482127791,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.303399032,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.738084093,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.799400718,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.316277194,-0.78230488
-0.484624283,1.315806629,-0.893058346,-0.873109781,0.052371549
-0.484624283,1.315806629,-0.893058346,-0.777309355,0.052371549
-0.484624283,1.315806629,-0.893058346,-0.822894052,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.205375933,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.176040181,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.219736749,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.74865798,0.887047979
2.063454176,-0.759990091,-0.893058346,-2.010085519,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.453189984,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.404260785,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.711756406,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.330239949,1.721724408
2.063454176,-0.759990091,-0.893058346,-2.002014924,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.595195233,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.249400054,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.457901608,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.579555317,0.887047979
2.063454176,-0.759990091,-0.893058346,-1.357519718,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.849618432,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.211163626,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.106865104,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.486704294,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.195107244,-0.78230488
2.063454176,-0.759990091,-0.893058346,-1.233822243,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.604179702,1.721724408
2.063454176,-0.759990091,-0.893058346,-1.107468607,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.784407852,0.052371549
2.063454176,-0.759990091,-0.893058346,-1.197056697,1.721724408
-0.484624283,1.315806629,-0.893058346,-0.690233276,-0.78230488
-0.484624283,1.315806629,-0.893058346,-0.884537971,0.052371549
2.063454176,-0.759990091,-0.893058346,-1.658449393,0.887047979
-0.484624283,1.315806629,-0.893058346,-0.689393579,0.887047979
